file1	condition	sample	input1
raw-data/sample1_1.fastq	WT	S1	raw-data/input_WT.fastq
raw-data/sample2_1.fastq	KO1	S2	raw-data/input_KO1.fastq
raw-data/sample3_1.fastq	KO2	S3	raw-data/input_KO2.fastq
raw-data/sample4_1.fastq	WT	S4	raw-data/input_WT.fastq
raw-data/sample5_1.fastq	KO1	S5	raw-data/input_KO1.fastq
raw-data/sample6_1.fastq	KO2	S6	raw-data/input_KO2.fastq
raw-data/sample7_1.fastq	WT	S7	raw-data/input_WT.fastq
raw-data/sample8_1.fastq	KO1	S8	raw-data/input_KO1.fastq
raw-data/sample9_1.fastq	KO2	S9	raw-data/input_KO2.fastq
raw-data/sample10_1.fastq	WT	S10	raw-data/input_WT.fastq
raw-data/sample11_1.fastq	KO1	S11	raw-data/input_KO1.fastq
raw-data/sample12_1.fastq	KO2	S12	raw-data/input_KO2.fastq
